article_id,title,url,content,published_at
ART001,청년 기후활동가들이 만드는 지역 사회 친화적 자원순환 모델,https://example.com/news/ART001,"청년 기후활동가 단체 '리코'가 지역 상인회와 협력하여 일회용품 사용을 줄이는 친환경 자원순환 모델을 구축했습니다. 이번 프로젝트는 다회용 컵 공유 시스템과 재활용 수거함을 설치하여 지역 내 플라스틱 쓰레기 배출량을 크게 줄이는 것을 목표로 합니다.",2026-03-29T08:00:00Z
ART002,시니어 디지털 격차 해소를 위한 동네 정보화 교실 열려,https://example.com/news/ART002,"지방자치단체와 사회적기업 '스마트브릿지'가 손잡고 어르신 대상 키오스크 사용법 및 모바일뱅킹 آموزش 교실을 개설했습니다. 이번 교육 프로그램은 실습 중심으로 구성되어 시니어 계층의 일상적인 디지털 접근성을 대폭 개선할 것으로 기대됩니다.",2026-03-29T08:05:00Z
ART003,발달장애인 아티스트의 자립을 돕는 소셜 굿즈 스토어 오픈,https://example.com/news/ART003,"발달장애 아티스트들의 독창적인 미술 작품을 패션 소품과 문구류로 재해석한 소셜 굿즈 스토어가 문을 열었습니다. 수익금의 70%는 작가 창작 지원금과 자립 기반 마련을 위한 교육 기금으로 직접 환원되는 선순환 구조를 갖추었습니다.",2026-03-29T08:10:00Z
ART004,버려지는 폐섬유를 고품질 건축 자재로 전환하는 친환경 스타트업,https://example.com/news/ART004,"의류 업계의 재고와 폐의류를 수거해 단열재와 흡음재 등 고성능 친환경 건축 자재를 생산하는 벤처기업 '에코텍'이 주목받고 있습니다. 버려지는 자원을 고부가가치 소재로 전환함으로써 순환경제 생태계 조성에 기여하고 있습니다.",2026-03-29T08:15:00Z
ART005,취약계층 식사 지원을 위한 지역 식재료 기반의 공유주방 사업,https://example.com/news/ART005,"지역 농가에서 생산된 못난이 농산물을 활용해 취약계층 아동과 독거노인에게 영양가 높은 도시락을 전달하는 공유주방 사업이 시작되었습니다. 이는 농가 소득 보전과 사회적 돌봄 문제를 동시에 해결하는 우수 사례로 평가받고 있습니다.",2026-03-29T08:20:00Z
ART006,도시 생태계 복원을 위한 시민 참여형 옥상 정원 프로젝트,https://example.com/news/ART006,"도심 내 빌딩 옥상을 꿀벌과 도심 새들의 서식지로 탈바꿈하는 시민 자원봉사 프로젝트가 진행 중입니다. 도심 열섬 현상을 완화하고 시민들에게 휴식 공간을 제공하는 1석 2조의 효과를 끌어내고 있습니다.",2026-03-29T08:25:00Z
ART007,유기동물 보호소 지원을 위한 동물복지 사회적협동조합 출범,https://example.com/news/ART007,"유기동물 구조 및 치료, 입양 연계 서비스를 종합적으로 지원하는 동물복지 사회적협동조합이 정식 출범했습니다. 지속 가능한 유기동물 관리 인프라를 구축하고 동물권 보장을 위한 캠페인을 전개할 예정입니다.",2026-03-29T08:30:00Z
ART008,경력단절 여성을 위한 임팩트 커리어 재취업 플랫폼 구축,https://example.com/news/ART008,"임신과 육아 등으로 경력이 단절된 전문직 여성들이 소셜벤처 및 비영리 단체와 연결될 수 있도록 돕는 플랫폼이 개발되었습니다. 유연근무제 중심의 프로젝트성 일자리를 매칭하여 지속 가능한 커리어 재개 지원에 나섭니다.",2026-03-29T08:35:00Z
ART009,단신: 지역 친환경 줍깅 행사 개최,https://example.com/news/ART009,"주말 플로깅 개최.",2026-03-29T08:40:00Z
ART010,Global Impact Initiative for Clean Water and Tech,https://example.com/news/ART010,"A international non-profit organization launched a new solar-powered water purification project for vulnerable communities. This initiative aims to supply clean drinking water using renewable energy technology.",2026-03-29T08:45:00Z
